,opt1,opt2,opt3
현대차,4.359012733602145e-17,0.1271952041505226,0.04724415478555427
SK텔레콤,1.0869732021153913e-16,0.041926311018863384,0.04244400738501763
LG,1.308889917030936e-16,0.03781164395781355,0.03880107512373878
삼성카드,6.447862845015127e-17,0.012624406740099053,0.08713292508481578
CJ대한통운,4.936218539457057e-17,0.009758570140135071,0.009818240691472824
한미반도체,0.009683612598436756,0.004634667248716356,1.0314825529636576e-16
NHN,4.1056497964762035e-17,0.003794283238766622,2.6752767322710296e-18
이노션,4.79262844850067e-17,0.0032654363053958996,0.0027483731464112535
한화투자증권,3.938779925316316e-18,0.0028657683048753145,1.5563771088433502e-17
DI동일,0.03312966681122521,0.002065777726998552,0.015404875145743282
NICE,1.3535855960883038e-17,0.001959748261141005,1.1368806666515601e-17
DL건설,2.7586544338305597e-17,0.0016663224763445634,4.458279720809559e-18
코오롱글로벌,3.9265128595819253e-17,0.001662118188578898,5.756188867103564e-18
국도화학,7.3646831233114e-17,0.0015286933265741792,1.0371512242149265e-17
서흥,1.3519659531680036e-17,0.001291075919170562,0.06669813463282728
대한제당,0.02112117071702585,0.0014718987116126671,7.989887033703e-18
퍼시스,1.2916982750611876e-17,0.0012184165197259985,2.8020340996909635e-18
태영건설,9.57914115264555e-18,0.0010596315606058843,1.0073875860969078e-17
조선내화,2.5027969354107394e-17,0.000565488329976223,1.6099447027886978e-17
조광피혁,5.81103107764227e-17,0.0009979486726949198,0.002210455184476598
KISCO홀딩스,5.936126807382392e-17,0.0009769554026175823,8.107463935634671e-18
SNT홀딩스,6.578850986547756e-17,0.0009280489779328178,1.572267859203362e-17
삼영무역,6.147009172367014e-17,0.0007324391204021336,4.346568692909523e-18
예스코홀딩스,5.349097820947493e-18,0.00045348182763969315,2.3216941212462065e-19
한양증권,4.31171921725115e-17,0.0005557564083541714,0.0
SNT에너지,6.386805742010064e-17,0.00040680054048859043,8.497332041154061e-18
인천도시가스,7.289175684743587e-18,1.3894210537013407e-05,2.2613054997948694e-17
삼화왕관,1.762419018784576e-17,8.755423431291097e-05,1.0724922436708478e-17
대동전자,0.005295776666472945,0.00024770037122358524,6.523023890926296e-18
SK하이닉스,0.0,0.26036088619074194,0.24447715994000446
NAVER,9.806927821168837e-18,0.14517224196087009,0.12624268003654002
삼성SDI,0.06062919801843133,0.1305407235734884,0.06137155732963908
기아,1.5309272301157543e-17,0.11212449314486304,0.11213443079470384
SKC,0.00591103864986735,0.01740273811143802,9.754134569591405e-17
유한양행,4.730324632192907e-18,0.013796442098457153,0.015443458977260214
DB하이텍,9.216281607607457e-05,0.010264147392363187,0.0269486316865014
하이트진로,1.6850898750177325e-17,0.008258027835425286,0.09651159636103963
후성,2.056470559375217e-17,0.006128722868938583,9.56958470813379e-18
해성디에스,0.035400847503044286,0.0037394171750961824,6.8348800154225715e-18
대성홀딩스,0.388892568036945,0.0028648423910329,3.174321932053726e-18
서울가스,0.09074038264009769,0.00312532335090085,0.0026891227733156654
SBS,3.803952821434218e-17,0.0031103063732292615,0.0
미원상사,0.15974242753757806,0.0028519670619325493,7.519170009250604e-18
한국카본,2.828130675495492e-17,0.0018606775360804518,2.559931516500949e-19
신영증권,2.2044374904858017e-17,0.001177768079444909,1.2653375781561836e-18
SIMPAC,6.525312660463194e-17,0.0016807158893150877,1.4569667373913972e-18
KEC,0.0005106965600213971,0.0014704466802464968,1.1285778914206602e-17
대성에너지,0.0263460941028063,0.00131654756987849,0.0014240090324576565
세진중공업,0.004111188740226499,0.001127433707278043,2.1930587227323738e-18
조일알미늄,1.8950966040992166e-17,0.000998919203088886,0.0002551118884801916
디씨엠,0.023493218741303685,0.0010845860899834625,9.112908362294779e-19
화성산업,2.260740131246509e-17,0.0009381730641351918,0.0
TCC스틸,0.03694413076842436,0.0009815324587978734,0.0
한농화성,2.119815656041552e-18,0.0007855573171671342,6.999291772211009e-18
동남합성,0.08458782815875587,0.0004965663399409887,5.619707977498683e-18
신흥,0.012320331825500578,0.0004917444620938687,6.42177106139381e-19
신송홀딩스,0.0010476591077607108,0.0004479755093737517,1.378049557225064e-18
한솔로지스틱스,1.3922677900047073e-17,0.0003068976514286997,1.122192508913979e-17
삼영화학,4.73474363915823e-18,0.0004295276852881927,8.970710557109523e-18
진양산업,1.7535666703825542e-17,0.00033741163624529004,1.042113624235874e-17
덕양산업,9.532451286278106e-18,0.0003738945951334611,9.318163045603385e-17
한국전자홀딩스,3.3970940970910497e-18,0.00018730310418236984,3.103932723060162e-18
