,대형성장주코드,대형성장주이름,대형가치주코드,대형가치주이름,중소형성장주코드,중소형성장주이름,중소형가치주코드,중소형가치주이름
0,000660,SK하이닉스,005380,현대차,093370,후성,042700,한미반도체
1,035420,NAVER,017670,SK텔레콤,195870,해성디에스,181710,NHN
2,006400,삼성SDI,003550,LG,016710,대성홀딩스,214320,이노션
3,000270,기아,029780,삼성카드,017390,서울가스,003530,한화투자증권
4,011790,SKC,000120,CJ대한통운,034120,SBS,001530,DI동일
5,000100,유한양행,,,002840,미원상사,034310,NICE
6,138040,메리츠금융지주,,,017960,한국카본,001880,DL건설
7,020150,일진머티리얼즈,,,001720,신영증권,003070,코오롱글로벌
8,000990,DB하이텍,,,009160,SIMPAC,007690,국도화학
9,052690,한전기술,,,092220,KEC,008490,서흥
10,000080,하이트진로,,,037270,YG PLUS,001790,대한제당
11,,,,,117580,대성에너지,016800,퍼시스
12,,,,,075580,세진중공업,009410,태영건설
13,,,,,018470,조일알미늄,000480,조선내화
14,,,,,024090,디씨엠,004700,조광피혁
15,,,,,002460,화성산업,001940,KISCO홀딩스
16,,,,,002710,TCC스틸,036530,SNT홀딩스
17,,,,,011500,한농화성,002810,삼영무역
18,,,,,023450,동남합성,015360,예스코홀딩스
19,,,,,004080,신흥,001750,한양증권
20,,,,,006880,신송홀딩스,100840,SNT에너지
21,,,,,009180,한솔로지스틱스,034590,인천도시가스
22,,,,,003720,삼영화학,004450,삼화왕관
23,,,,,003780,진양산업,008110,대동전자
24,,,,,024900,덕양산업,,
25,,,,,006200,한국전자홀딩스,,
