,Code,MDD
0,003070,-0.43681747269890797
1,011500,-0.4360587002096436
2,007690,-0.4337748344370861
3,000120,-0.43358395989974935
4,004370,-0.4308510638297872
5,001530,-0.42906118143459915
6,017670,-0.4283168832208853
7,181710,-0.4281691770650518
8,066570,-0.42702702702702705
9,034310,-0.4260869565217391
10,009180,-0.42
11,004450,-0.41742286751361163
12,036530,-0.41660560284087705
13,008110,-0.41526104417670684
14,003550,-0.41506276150627613
15,117580,-0.41456582633053224
16,002810,-0.4121252646829377
17,015360,-0.4116331096196868
18,006400,-0.4112607099143207
19,001880,-0.4092039800995025
20,037270,-0.40696517412935324
21,035420,-0.4052863436123348
22,001940,-0.4051172707889126
23,009160,-0.4033790918690602
24,000080,-0.4
25,100840,-0.3996316758747698
26,092220,-0.39880952380952384
27,229640,-0.3978260869565217
28,002460,-0.3970149253731343
29,008490,-0.3953098827470687
30,075580,-0.39231738035264485
31,016800,-0.39228007181328545
32,003780,-0.39076923076923076
33,005380,-0.39065420560747666
34,001790,-0.3890160183066362
35,006880,-0.38766233766233765
36,017390,-0.3850050658561297
37,000660,-0.3838383838383838
38,012750,-0.3824074074074074
39,052690,-0.38141592920353984
40,000480,-0.3809090909090909
41,155900,-0.37916666666666665
42,009410,-0.37446808510638296
43,011790,-0.37343358395989973
44,001720,-0.36741214057507987
45,034120,-0.35327868852459016
46,003720,-0.35135135135135137
47,001750,-0.3501259445843829
48,017960,-0.34982578397212544
49,006200,-0.3489278752436647
50,004080,-0.3464052287581699
51,004700,-0.33638928067700985
52,002710,-0.33436293436293435
53,024900,-0.3313953488372093
54,024090,-0.33125
55,093370,-0.328740157480315
56,034590,-0.32636655948553056
57,000270,-0.3221674876847291
58,042700,-0.3176178660049628
59,002840,-0.31072210065645517
60,000990,-0.302945301542777
61,005930,-0.2879120879120879
62,000100,-0.27651490164518383
63,088980,-0.21152263374485597
64,195870,-0.20140105078809106
65,023450,-0.1896792189679219
