,종목명,종목코드,opt1,opt2,opt3
0,현대차,005380,0.0,12.72,4.72
1,SK텔레콤,017670,0.0,4.19,4.24
2,LG,003550,0.0,3.78,3.88
3,삼성카드,029780,0.0,1.26,8.71
4,CJ대한통운,000120,0.0,0.98,0.98
5,한미반도체,042700,0.97,0.46,0.0
6,NHN,181710,0.0,0.38,0.0
7,이노션,214320,0.0,0.33,0.27
8,한화투자증권,003530,0.0,0.29,0.0
9,DI동일,001530,3.31,0.21,1.54
10,NICE,034310,0.0,0.2,0.0
11,DL건설,001880,0.0,0.17,0.0
12,코오롱글로벌,003070,0.0,0.17,0.0
13,국도화학,007690,0.0,0.15,0.0
14,서흥,008490,0.0,0.13,6.67
15,대한제당,001790,2.11,0.15,0.0
16,퍼시스,016800,0.0,0.12,0.0
17,태영건설,009410,0.0,0.11,0.0
18,조선내화,000480,0.0,0.06,0.0
19,조광피혁,004700,0.0,0.1,0.22
20,KISCO홀딩스,001940,0.0,0.1,0.0
21,SNT홀딩스,036530,0.0,0.09,0.0
22,삼영무역,002810,0.0,0.07,0.0
23,예스코홀딩스,015360,0.0,0.05,0.0
24,한양증권,001750,0.0,0.06,0.0
25,SNT에너지,100840,0.0,0.04,0.0
26,인천도시가스,034590,0.0,0.0,0.0
27,삼화왕관,004450,0.0,0.01,0.0
28,대동전자,008110,0.53,0.02,0.0
29,SK하이닉스,000660,0.0,26.04,24.45
30,NAVER,035420,0.0,14.52,12.62
31,삼성SDI,006400,6.06,13.05,6.14
32,기아,000270,0.0,11.21,11.21
33,SKC,011790,0.59,1.74,0.0
34,유한양행,000100,0.0,1.38,1.54
35,DB하이텍,000990,0.01,1.03,2.69
36,하이트진로,000080,0.0,0.83,9.65
37,후성,093370,0.0,0.61,0.0
38,해성디에스,195870,3.54,0.37,0.0
39,대성홀딩스,016710,38.89,0.29,0.0
40,서울가스,017390,9.07,0.31,0.27
41,SBS,034120,0.0,0.31,0.0
42,미원상사,002840,15.97,0.29,0.0
43,한국카본,017960,0.0,0.19,0.0
44,신영증권,001720,0.0,0.12,0.0
45,SIMPAC,009160,0.0,0.17,0.0
46,KEC,092220,0.05,0.15,0.0
47,대성에너지,117580,2.63,0.13,0.14
48,세진중공업,075580,0.41,0.11,0.0
49,조일알미늄,018470,0.0,0.1,0.03
50,디씨엠,024090,2.35,0.11,0.0
51,화성산업,002460,0.0,0.09,0.0
52,TCC스틸,002710,3.69,0.1,0.0
53,한농화성,011500,0.0,0.08,0.0
54,동남합성,023450,8.46,0.05,0.0
55,신흥,004080,1.23,0.05,0.0
56,신송홀딩스,006880,0.1,0.04,0.0
57,한솔로지스틱스,009180,0.0,0.03,0.0
58,삼영화학,003720,0.0,0.04,0.0
59,진양산업,003780,0.0,0.03,0.0
60,덕양산업,024900,0.0,0.04,0.0
61,한국전자홀딩스,006200,0.0,0.02,0.0
